Upregulated
Ensembl_t_id	Ensembl_p_id	Gene_symbol	Symbol	Description	Fold	PPEE	case control expected_counts	
ENSRNOT00000022329	ENSRNOP00000022329	SCGN	Scgn	secretagogin, EF-hand calcium binding protein [Source:RGD Symbol;Acc:1303281]	1.99239143	0.977834436	13	7
ENSRNOT00000022716	ENSRNOP00000022715	PLA2G5	Pla2g5	phospholipase A2, group V [Source:RGD Symbol;Acc:62051]	1.99239143	0.977834436	13	7
ENSRNOT00000028812	ENSRNOP00000028812	ITGA10	Itga10	integrin, alpha 10 [Source:RGD Symbol;Acc:1305152]	1.99239143	0.977834436	13	7
ENSRNOT00000040482	ENSRNOP00000045536	DPP4	Dpp4	dipeptidylpeptidase 4 [Source:RGD Symbol;Acc:2515]	1.99239143	0.977834436	13	7
ENSRNOT00000081447	ENSRNOP00000073541	P2RX2	P2rx2	purinergic receptor P2X, ligand-gated ion channel, 2 [Source:RGD Symbol;Acc:620251]	1.99239143	0.977834436	13	7
ENSRNOT00000081485	-	AABR07068198.2	AABR07068198.2	-	1.99239143	0.977834436	13	7
ENSRNOT00000091792	ENSRNOP00000070305	BCAP31	Bcap31	B-cell receptor-associated protein 31 [Source:RGD Symbol;Acc:1302944]	1.218293919	0.977834736	1221	1076
ENSRNOT00000018294	ENSRNOP00000018294	ERICH6	Erich6	glutamate-rich 6 [Source:RGD Symbol;Acc:1559451]	1.520732788	0.977942348	34	24
ENSRNOT00000052087	ENSRNOP00000039102	TRABD	Trabd	TraB domain containing [Source:RGD Symbol;Acc:1310875]	1.232662594	0.97798188	310	270
ENSRNOT00000036473	ENSRNOP00000032833	RGD1310212	RGD1310212	similar to KIAA1111-like protein [Source:RGD Symbol;Acc:1310212]	2.33488935	0.977985389	9.06	4.16
ENSRNOT00000004278	ENSRNOP00000004278	LOC100362640	LOC100362640	ribosomal protein S4, X-linked X-like [Source:RGD Symbol;Acc:2324318]	1.233723914	0.978012545	3677.96	3200.65
ENSRNOT00000016471	ENSRNOP00000016471	T	T	brachyury [Source:RGD Symbol;Acc:1310141]	1.581855305	0.978054467	28	19
ENSRNOT00000079282	-	AABR07044415.1	AABR07044415.1	-	1.581855305	0.978054467	28	19
ENSRNOT00000059486	ENSRNOP00000056243	CUX1	Cux1	cut-like homeobox 1 [Source:RGD Symbol;Acc:620618]	1.216474462	0.978060684	843	744
ENSRNOT00000088725	ENSRNOP00000073146	AABR07027267.1	AABR07027267.1	-	1.225811445	0.978111503	382.32	334.85
ENSRNOT00000060969	ENSRNOP00000057689	CERCAM	Cercam	cerebral endothelial cell adhesion molecule [Source:RGD Symbol;Acc:1304778]	1.248649402	0.978129657	214	184
ENSRNOT00000072087	ENSRNOP00000067586	ZFP300	Zfp300	zinc finger protein 300 [Source:RGD Symbol;Acc:2321626]	1.398103127	0.9782048	56	43
ENSRNOT00000009086	ENSRNOP00000009086	ACYP1	Acyp1	acylphosphatase 1, erythrocyte (common) type [Source:RGD Symbol;Acc:1311327]	1.312158786	0.978216018	99	81
ENSRNOT00000061242	ENSRNOP00000057954	LOC100912008	LOC100912008	uncharacterized LOC100912008 [Source:RGD Symbol;Acc:6489329]	1.236579079	0.978258223	272.02	236.17
ENSRNOT00000026996	ENSRNOP00000026996	PLA2G15	Pla2g15	phospholipase A2, group XV [Source:RGD Symbol;Acc:1302982]	1.223557189	0.978305162	408	358
ENSRNOT00000020908	ENSRNOP00000020908	NOL3	Nol3	nucleolar protein 3 (apoptosis repressor with CARD domain) [Source:RGD Symbol;Acc:708558]	1.245161415	0.978310705	225	194
ENSRNOT00000016838	ENSRNOP00000016838	RHOBTB3	Rhobtb3	Rho-related BTB domain containing 3 [Source:RGD Symbol;Acc:1311683]	1.236002727	0.978326492	274	238
ENSRNOT00000004902	ENSRNOP00000004902	LOC102556119	LOC102556119	zinc finger protein 354B-like [Source:RGD Symbol;Acc:7562538]	1.340099452	0.978357469	78.99	63.28
ENSRNOT00000008399	ENSRNOP00000008399	SUV39H1L1	Suv39h1l1	suppressor of variegation 3-9 homolog 1 (Drosophila)-like 1 [Source:RGD Symbol;Acc:1565028]	1.234432537	0.978361111	284	247
ENSRNOT00000011351	-	DBF4	Dbf4	DBF4 zinc finger [Source:RGD Symbol;Acc:1305854]	3.136189377	0.978388437	5.6	1.91
ENSRNOT00000080859	ENSRNOP00000074406	AC128618.1	AC128618.1	acyl-coenzyme A thioesterase 1  [Source:RefSeq peptide;Acc:NP_112605]	1.68177138	0.978400125	21.42	13.67
ENSRNOT00000060355	ENSRNOP00000057102	GTPBP3	Gtpbp3	GTP binding protein 3 [Source:RGD Symbol;Acc:1305367]	1.235323318	0.978456407	275	239
ENSRNOT00000030035	ENSRNOP00000036773	ZFP879	Zfp879	zinc finger protein 879 [Source:RGD Symbol;Acc:1563273]	1.320214069	0.978506629	91	74
ENSRNOT00000072573	ENSRNOP00000067129	RPS27L	Rps27l	ribosomal protein S27-like [Source:RGD Symbol;Acc:1595396]	1.320214069	0.978506629	91	74
ENSRNOT00000001921	ENSRNOP00000001921	PLOD3	Plod3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 [Source:RGD Symbol;Acc:631339]	1.216241674	0.978518718	640.32	565.23
ENSRNOT00000048419	ENSRNOP00000045489	ZFP951	Zfp951	zinc finger protein 951 [Source:RGD Symbol;Acc:2301011]	1.84803096	0.97855201	15.5	9
ENSRNOT00000044065	ENSRNOP00000039133	ZFP951	Zfp951	zinc finger protein 951 [Source:RGD Symbol;Acc:2301011]	1.84803096	0.97855201	15.5	9
ENSRNOT00000007333	ENSRNOP00000007333	IRF6	Irf6	interferon regulatory factor 6 [Source:RGD Symbol;Acc:1309645]	1.368260742	0.978554312	65	51
ENSRNOT00000066106	ENSRNOP00000059786	RGD1309779	RGD1309779	similar to ENSANGP00000021391 [Source:RGD Symbol;Acc:1309779]	1.561332792	0.978591591	28.96	19.91
ENSRNOT00000072399	ENSRNOP00000066132	RTL1	Rtl1	retrotransposon-like 1 [Source:MGI Symbol;Acc:MGI:2656842]	1.502855571	0.978608492	35	25
ENSRNOT00000027525	ENSRNOP00000027525	KIF22	Kif22	kinesin family member 22 [Source:RGD Symbol;Acc:1311886]	1.64576686	0.978660208	23	15
ENSRNOT00000028175	ENSRNOP00000028175	NADSYN1	Nadsyn1	NAD synthetase 1 [Source:RGD Symbol;Acc:727801]	1.250432926	0.978691709	198	170
ENSRNOT00000023999	ENSRNOP00000023999	ZFP771	Zfp771	zinc finger protein 771 [Source:RGD Symbol;Acc:1305903]	1.21484542	0.978694254	929	821
ENSRNOT00000001260	ENSRNOP00000001260	GSX1	Gsx1	GS homeobox 1 [Source:RGD Symbol;Acc:1310020]	4.260682803	0.978729045	4	1
ENSRNOT00000076813	-	CYP3A2	Cyp3a2	-	4.260682803	0.978729045	4	1
ENSRNOT00000042447	ENSRNOP00000041163	CD200R1L	Cd200r1l	CD200 receptor 1-like [Source:RGD Symbol;Acc:1563387]	4.260682803	0.978729045	4	1
ENSRNOT00000004516	ENSRNOP00000004516	TMEM220	Tmem220	transmembrane protein 220 [Source:RGD Symbol;Acc:1309576]	4.260682803	0.978729045	4	1
ENSRNOT00000012280	ENSRNOP00000012280	RAB19	Rab19	RAB19, member RAS oncogene family [Source:RGD Symbol;Acc:1565263]	4.260682803	0.978729045	4	1
ENSRNOT00000012657	ENSRNOP00000012656	ASB4	Asb4	ankyrin repeat and SOCS box-containing 4 [Source:RGD Symbol;Acc:1563114]	4.260682803	0.978729045	4	1
ENSRNOT00000015623	ENSRNOP00000015623	NEIL3	Neil3	nei endonuclease VIII-like 3 (E. coli) [Source:RGD Symbol;Acc:1310562]	4.260682803	0.978729045	4	1
ENSRNOT00000016880	ENSRNOP00000016880	BCO1	Bco1	beta-carotene oxygenase 1 [Source:RGD Symbol;Acc:70981]	4.260682803	0.978729045	4	1
ENSRNOT00000017504	ENSRNOP00000017504	LOC691485	LOC691485	hypothetical protein LOC691485 [Source:RGD Symbol;Acc:1583888]	4.260682803	0.978729045	4	1
ENSRNOT00000077662	ENSRNOP00000073061	F11	F11	coagulation factor XI [Source:RGD Symbol;Acc:1309364]	4.260682803	0.978729045	4	1
ENSRNOT00000019596	ENSRNOP00000019596	PROC	Proc	protein C [Source:RGD Symbol;Acc:3411]	4.260682803	0.978729045	4	1
ENSRNOT00000022398	ENSRNOP00000022398	HOXC4	Hoxc4	homeo box C4 [Source:RGD Symbol;Acc:1586210]	4.260682803	0.978729045	4	1
ENSRNOT00000023685	ENSRNOP00000023685	FBP1	Fbp1	fructose-1,6-bisphosphatase 1 [Source:RGD Symbol;Acc:2595]	4.260682803	0.978729045	4	1
ENSRNOT00000025129	ENSRNOP00000025129	CENPH	Cenph	centromere protein H [Source:RGD Symbol;Acc:1583506]	4.260682803	0.978729045	4	1
ENSRNOT00000025950	ENSRNOP00000025950	IL27	Il27	interleukin 27 [Source:RGD Symbol;Acc:1561420]	4.260682803	0.978729045	4	1
ENSRNOT00000030159	ENSRNOP00000033594	SKAP1	Skap1	src kinase associated phosphoprotein 1 [Source:RGD Symbol;Acc:708436]	4.260682803	0.978729045	4	1
ENSRNOT00000035263	ENSRNOP00000033704	SPATA16	Spata16	spermatogenesis associated 16 [Source:RGD Symbol;Acc:1563726]	4.260682803	0.978729045	4	1
ENSRNOT00000034817	ENSRNOP00000031300	QRICH2	Qrich2	glutamine rich 2 [Source:RGD Symbol;Acc:1562974]	4.260682803	0.978729045	4	1
ENSRNOT00000038961	ENSRNOP00000030761	EPHX3	Ephx3	epoxide hydrolase 3 [Source:RGD Symbol;Acc:1307206]	4.260682803	0.978729045	4	1
ENSRNOT00000085014	ENSRNOP00000070929	IGSF5	Igsf5	immunoglobulin superfamily, member 5 [Source:RGD Symbol;Acc:1359642]	4.260682803	0.978729045	4	1
ENSRNOT00000047795	ENSRNOP00000073581	AABR07026842.1	AABR07026842.1	-	4.260682803	0.978729045	4	1
ENSRNOT00000055975	ENSRNOP00000052828	ATP8B4	Atp8b4	ATPase, class I, type 8B, member 4 [Source:RGD Symbol;Acc:1306712]	4.260682803	0.978729045	4	1
ENSRNOT00000049860	ENSRNOP00000045955	LOC685160	LOC685160	similar to spermatogenesis associated glutamate (E)-rich protein 4d [Source:RGD Symbol;Acc:1597723]	4.260682803	0.978729045	4	1
ENSRNOT00000060511	-	AABR07008300.1	AABR07008300.1	-	4.260682803	0.978729045	4	1
ENSRNOT00000085266	ENSRNOP00000070869	MYOZ1	Myoz1	myozenin 1 [Source:RGD Symbol;Acc:1561064]	4.260682803	0.978729045	4	1
ENSRNOT00000078807	ENSRNOP00000072401	MYO1H	Myo1h	myosin 1H [Source:MGI Symbol;Acc:MGI:1914674]	4.260682803	0.978729045	4	1
ENSRNOT00000071940	ENSRNOP00000065806	DCDC2B	Dcdc2b	doublecortin domain containing 2B [Source:RGD Symbol;Acc:1583476]	4.260682803	0.978729045	4	1
ENSRNOT00000075314	ENSRNOP00000066104	SOWAHD	Sowahd	sosondowah ankyrin repeat domain family member D [Source:RGD Symbol;Acc:1563086]	4.260682803	0.978729045	4	1
ENSRNOT00000075107	ENSRNOP00000064279	ABCB11	Abcb11	ATP-binding cassette, subfamily B (MDR/TAP), member 11 [Source:RGD Symbol;Acc:619930]	4.260682803	0.978729045	4	1
ENSRNOT00000084810	-	7SK	7SK	7SK RNA [Source:RFAM;Acc:RF00100]	4.260682803	0.978729045	4	1
ENSRNOT00000089726	-	RN60_20_0050.7	Rn60_20_0050.7	-	4.260682803	0.978729045	4	1
ENSRNOT00000079567	ENSRNOP00000071319	4932431P20RIK	4932431P20Rik	RIKEN cDNA 4932431P20 gene [Source:MGI Symbol;Acc:MGI:2149781]	4.260682803	0.978729045	4	1
ENSRNOT00000088061	-	AABR07062033.1	AABR07062033.1	-	4.260682803	0.978729045	4	1
ENSRNOT00000091737	-	AABR07020987.1	AABR07020987.1	-	4.260682803	0.978729045	4	1
ENSRNOT00000091207	ENSRNOP00000068826	COX14	Cox14	Cytochrome c oxidase assembly protein COX14  [Source:UniProtKB/Swiss-Prot;Acc:Q5XFV8]	4.260682803	0.978729045	4	1
ENSRNOT00000001792	ENSRNOP00000001792	IL3RA	Il3ra	interleukin 3 receptor, alpha [Source:RGD Symbol;Acc:628728]	1.288310686	0.978742797	120	100
ENSRNOT00000049600	ENSRNOP00000038976	POLR2M	Polr2m	polymerase (RNA) II (DNA directed) polypeptide M [Source:MGI Symbol;Acc:MGI:107282]	1.77238532	0.978771747	17.49	10.59
ENSRNOT00000008289	ENSRNOP00000008289	NGLY1	Ngly1	N-glycanase 1 [Source:RGD Symbol;Acc:1308518]	1.220265137	0.978784616	441	388
ENSRNOT00000016954	ENSRNOP00000016954	CPT2	Cpt2	carnitine palmitoyltransferase 2 [Source:RGD Symbol;Acc:2398]	1.236565933	0.978794712	258	224
ENSRNOT00000015529	ENSRNOP00000015529	VEGFC	Vegfc	vascular endothelial growth factor C [Source:RGD Symbol;Acc:619800]	1.756115805	0.978812337	18	11
ENSRNOT00000087121	ENSRNOP00000071425	ASGR2	Asgr2	asialoglycoprotein receptor 2 [Source:RGD Symbol;Acc:2161]	1.756115805	0.978812337	18	11
ENSRNOT00000085727	ENSRNOP00000074970	-	-	-	1.223720689	0.978831838	375	329
ENSRNOT00000018776	ENSRNOP00000018776	LCN2	Lcn2	lipocalin 2 [Source:RGD Symbol;Acc:69408]	1.556456554	0.978855142	29	20
ENSRNOT00000039258	ENSRNOP00000031055	ZMYND10	Zmynd10	zinc finger, MYND-type containing 10 [Source:RGD Symbol;Acc:1303250]	1.246574588	0.97885641	209	180
ENSRNOT00000028438	ENSRNOP00000028438	PSENEN	Psenen	presenilin enhancer gamma secretase subunit [Source:RGD Symbol;Acc:1312037]	1.215188934	0.97895474	618	546
ENSRNOT00000057761	ENSRNOP00000054572	AC111257.1	AC111257.1	transmembrane and coiled-coil domains 3 (Tmco3), mRNA [Source:RefSeq mRNA;Acc:NM_001135857]	1.221945905	0.978960089	395.66	347.63
ENSRNOT00000043508	ENSRNOP00000049054	RPL35A	Rpl35a	ribosomal protein L35a [Source:RGD Symbol;Acc:628793]	1.213975096	0.978972299	817.76	723.21
ENSRNOT00000070877	-	RN60_16_0006.1	Rn60_16_0006.1	-	1.509975145	0.979002785	33.45	23.78
ENSRNOT00000071413	-	AC126148.1	AC126148.1	-	1.318406067	0.979021023	89.5	72.88
ENSRNOT00000030203	ENSRNOP00000037391	SLC2A10	Slc2a10	solute carrier family 2 (facilitated glucose transporter), member 10 [Source:RGD Symbol;Acc:1306552]	1.313725561	0.979023977	93	76
ENSRNOT00000039144	-	AABR07044711.1	AABR07044711.1	-	191.6525154	0.979028515	1.84	0
ENSRNOT00000077985	ENSRNOP00000073632	HIST1H2AC	Hist1h2ac	histone cluster 1, H2an  [Source:RefSeq peptide;Acc:NP_001100824]	191.6525154	0.979028515	1.84	0
ENSRNOT00000027784	ENSRNOP00000027784	APBA3	Apba3	amyloid beta (A4) precursor protein-binding, family A, member 3 [Source:RGD Symbol;Acc:620846]	1.220972871	0.979086561	404.75	355.9
ENSRNOT00000071447	ENSRNOP00000065306	LOC100910829	LOC100910829	probable N-acetyltransferase CML2-like [Source:RGD Symbol;Acc:6496154]	4.177980128	0.979104715	4	1.02
ENSRNOT00000080096	ENSRNOP00000074341	AABR07061345.3	AABR07061345.3	-	4.177980128	0.979104715	4	1.02
ENSRNOT00000063870	ENSRNOP00000062131	TBX19	Tbx19	T-box 19 [Source:RGD Symbol;Acc:1310145]	1.442529731	0.979186858	43	32
ENSRNOT00000091348	-	AABR07000248.1	AABR07000248.1	-	1.776382349	0.979192945	17	10.27
ENSRNOT00000082112	-	AABR07065406.2	AABR07065406.2	-	1.660693714	0.979201357	21.6	13.96
ENSRNOT00000056688	ENSRNOP00000053527	LOC100364989	LOC100364989	rCG65845-like [Source:RGD Symbol;Acc:2319977]	1.328719385	0.979336532	80.98	65.43
ENSRNOT00000056217	ENSRNOP00000053062	SGK494	Sgk494	uncharacterized serine/threonine-protein kinase SgK494 [Source:RGD Symbol;Acc:1596488]	1.376945762	0.979359514	59	46
ENSRNOT00000065791	ENSRNOP00000058886	PKLR	Pklr	pyruvate kinase, liver and RBC [Source:RGD Symbol;Acc:3336]	2.001345792	0.979383738	11.94	6.4
ENSRNOT00000031044	ENSRNOP00000033357	HAUS5	Haus5	HAUS augmin-like complex, subunit 5 [Source:RGD Symbol;Acc:2318093]	1.251940291	0.979402717	181.96	156.04
ENSRNOT00000021923	ENSRNOP00000021923	MSH6	Msh6	mutS homolog 6 [Source:RGD Symbol;Acc:2322311]	1.213566843	0.97941751	633	560
ENSRNOT00000051402	ENSRNOP00000045721	ARRDC4	Arrdc4	arrestin domain containing 4 [Source:RGD Symbol;Acc:1311763]	1.245381345	0.979429353	203	175
ENSRNOT00000019172	ENSRNOP00000019172	SLC30A7	Slc30a7	solute carrier family 30 (zinc transporter), member 7 [Source:RGD Symbol;Acc:1307873]	1.245381345	0.979429353	203	175
ENSRNOT00000000337	ENSRNOP00000000337	MICAL1	Mical1	microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:RGD Symbol;Acc:1309386]	1.212643519	0.979444091	785	695
ENSRNOT00000036143	ENSRNOP00000030755	PAQR6	Paqr6	progestin and adipoQ receptor family member VI [Source:RGD Symbol;Acc:1584722]	1.213164925	0.979485484	652	577
ENSRNOT00000091095	ENSRNOP00000070338	TES	Tes	testin LIM domain protein [Source:RGD Symbol;Acc:1566346]	1.225356886	0.97949701	323	283
ENSRNOT00000067528	ENSRNOP00000060721	ARHGEF15	Arhgef15	Rho guanine nucleotide exchange factor (GEF) 15 [Source:RGD Symbol;Acc:1306961]	1.288309113	0.979497327	114	95
ENSRNOT00000047286	ENSRNOP00000043308	ZFP341	Zfp341	zinc finger protein 341 [Source:RGD Symbol;Acc:1564726]	1.288309113	0.979497327	114	95
ENSRNOT00000030600	ENSRNOP00000034778	FAM109A	Fam109a	family with sequence similarity 109, member A [Source:RGD Symbol;Acc:1310656]	1.288309113	0.979497327	114	95
ENSRNOT00000027179	ENSRNOP00000027179	PCDHB11	Pcdhb11	protocadherin beta 11 [Source:RGD Symbol;Acc:1309608]	1.295219094	0.979500506	106.42	88.21
ENSRNOT00000014135	ENSRNOP00000014135	KANK2	Kank2	KN motif and ankyrin repeat domains 2 [Source:RGD Symbol;Acc:2320289]	1.213563103	0.97951576	607	537
ENSRNOT00000016273	ENSRNOP00000016273	UTRN	Utrn	utrophin [Source:RGD Symbol;Acc:3947]	1.219423363	0.979542759	1957	1723
ENSRNOT00000013128	ENSRNOP00000013128	WDR54	Wdr54	WD repeat domain 54 [Source:RGD Symbol;Acc:1561494]	1.216167952	0.97956903	477.32	421.37
ENSRNOT00000039369	ENSRNOP00000033534	AABR07006258.1	AABR07006258.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1M740]	1.866635682	0.979571507	14.3	8.22
ENSRNOT00000033663	ENSRNOP00000035452	MTCP1	Mtcp1	mature T-cell proliferation 1 [Source:RGD Symbol;Acc:1561352]	1.610030645	0.979583355	24	16
ENSRNOT00000047105	ENSRNOP00000050977	PPP1R13L	Ppp1r13l	protein phosphatase 1, regulatory subunit 13 like [Source:RGD Symbol;Acc:1593681]	1.257646715	0.979602511	164	140
ENSRNOT00000012258	ENSRNOP00000012258	PNRC2	Pnrc2	proline-rich nuclear receptor coactivator 2 [Source:RGD Symbol;Acc:1642418]	1.212145539	0.979621545	875	775
ENSRNOT00000010454	ENSRNOP00000010454	ORM1	Orm1	orosomucoid 1 [Source:RGD Symbol;Acc:67390]	2.144861757	0.979621716	10	5
ENSRNOT00000011887	ENSRNOP00000011887	TSSK3	Tssk3	testis-specific serine kinase 3 [Source:RGD Symbol;Acc:1359231]	2.144861757	0.979621716	10	5
ENSRNOT00000032123	ENSRNOP00000037070	HRASLS5	Hrasls5	HRAS-like suppressor family, member 5 [Source:RGD Symbol;Acc:1308376]	2.144861757	0.979621716	10	5
ENSRNOT00000033621	ENSRNOP00000036268	UPK1A	Upk1a	uroplakin 1A [Source:RGD Symbol;Acc:1309849]	2.144861757	0.979621716	10	5
ENSRNOT00000048457	ENSRNOP00000041075	MUSK	Musk	muscle, skeletal, receptor tyrosine kinase [Source:RGD Symbol;Acc:3211]	2.144861757	0.979621716	10	5
ENSRNOT00000060492	ENSRNOP00000057234	CCDC152	Ccdc152	coiled-coil domain containing 152 [Source:RGD Symbol;Acc:1561503]	2.144861757	0.979621716	10	5
ENSRNOT00000083615	-	AABR07041949.1	AABR07041949.1	-	2.144861757	0.979621716	10	5
ENSRNOT00000084345	-	AABR07051177.1	AABR07051177.1	-	2.144861757	0.979621716	10	5
ENSRNOT00000064289	ENSRNOP00000063875	RTBDN	Rtbdn	retbindin [Source:RGD Symbol;Acc:1308534]	1.295709597	0.979627575	105	87
ENSRNOT00000055473	ENSRNOP00000052338	ARNTL2	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2 [Source:RGD Symbol;Acc:620230]	1.877693199	0.979648071	14	8
ENSRNOT00000037790	ENSRNOP00000037844	GLB1L2	Glb1l2	galactosidase, beta 1-like 2 [Source:RGD Symbol;Acc:1564436]	1.877693199	0.979648071	14	8
ENSRNOT00000020245	ENSRNOP00000020245	FSBP	Fsbp	fibrinogen silencer binding protein [Source:RGD Symbol;Acc:7611658]	1.877693199	0.979648071	14	8
ENSRNOT00000022390	ENSRNOP00000022390	MAMDC4	Mamdc4	MAM domain containing 4 [Source:RGD Symbol;Acc:708583]	1.877693199	0.979648071	14	8
ENSRNOT00000025832	ENSRNOP00000025832	CHP2	Chp2	calcineurin-like EF hand protein 2 [Source:RGD Symbol;Acc:727796]	1.877693199	0.979648071	14	8
ENSRNOT00000034041	ENSRNOP00000032365	ANKDD1B	Ankdd1b	ankyrin repeat and death domain containing 1B [Source:RGD Symbol;Acc:2325067]	1.877693199	0.979648071	14	8
ENSRNOT00000068043	ENSRNOP00000060115	LOC100360095	LOC100360095	urinary protein 1-like [Source:RGD Symbol;Acc:2322852]	1.877693199	0.979648071	14	8
ENSRNOT00000073259	ENSRNOP00000066864	POPDC3	Popdc3	popeye domain containing 3 [Source:RGD Symbol;Acc:1590760]	1.877693199	0.979648071	14	8
ENSRNOT00000017294	ENSRNOP00000017294	8-Mar	8-Mar	membrane-associated ring finger (C3HC4) 8, E3 ubiquitin protein ligase [Source:RGD Symbol;Acc:1309339]	1.213519825	0.979659906	1197	1059
ENSRNOT00000048848	ENSRNOP00000043168	RBMS2	Rbms2	RNA binding motif, single stranded interacting protein 2 [Source:RGD Symbol;Acc:1304813]	1.222051975	0.979664248	354	311
ENSRNOT00000017559	ENSRNOP00000017559	EPHA8	Epha8	Eph receptor A8 [Source:RGD Symbol;Acc:708543]	1.215126077	0.97968089	1434	1267
ENSRNOT00000051754	ENSRNOP00000044432	MROH1	Mroh1	maestro heat-like repeat family member 1 [Source:RGD Symbol;Acc:1642414]	1.217143546	0.979719656	1713	1511
ENSRNOT00000026001	ENSRNOP00000026001	EMC9	Emc9	ER membrane protein complex subunit 9 [Source:RGD Symbol;Acc:1308113]	1.245315332	0.979748349	197.41	170.19
ENSRNOT00000041234	ENSRNOP00000043929	APLF	Aplf	aprataxin and PNKP like factor [Source:RGD Symbol;Acc:1565557]	1.271364045	0.979763193	135	114
ENSRNOT00000081972	ENSRNOP00000073776	TXNRD2	Txnrd2	thioredoxin reductase 2 [Source:RGD Symbol;Acc:61960]	1.228142221	0.979765558	287.22	251.08
ENSRNOT00000086155	-	AABR07006097.1	AABR07006097.1	-	1.471072328	0.979772276	37	27
ENSRNOT00000060005	ENSRNOP00000056754	ANKS6	Anks6	ankyrin repeat and sterile alpha motif domain containing 6 [Source:RGD Symbol;Acc:3334]	1.224767816	0.979805445	316	277
ENSRNOT00000089950	ENSRNOP00000072466	TSEN34	Tsen34	Protein LOC100909510; tRNA splicing endonuclease 34 homolog (S. cerevisiae); tRNA splicing endonuclease 34 homolog, isoform CRA_b  [Source:UniProtKB/TrEMBL;Acc:Q5XIB7]	1.255767187	0.979854112	165.1	141.15
ENSRNOT00000066477	ENSRNOP00000060810	FHDC1	Fhdc1	FH2 domain containing 1 [Source:RGD Symbol;Acc:1311955]	1.213360249	0.979869198	547	484
ENSRNOT00000013341	ENSRNOP00000013341	ADAMTS15	Adamts15	ADAM metallopeptidase with thrombospondin type 1 motif, 15 [Source:RGD Symbol;Acc:1309770]	1.329186118	0.9798696	78	63
ENSRNOT00000022255	ENSRNOP00000022255	KLF4	Klf4	Kruppel-like factor 4 (gut) [Source:RGD Symbol;Acc:621445]	1.283882947	0.979897913	116	97
ENSRNOT00000045946	ENSRNOP00000048331	GIT2	Git2	G protein-coupled receptor kinase interacting ArfGAP 2 [Source:RGD Symbol;Acc:1359708]	1.216764615	0.979936864	1734	1530
ENSRNOT00000078273	-	APOM	Apom	apolipoprotein M [Source:RGD Symbol;Acc:620773]	1.699289982	0.979984854	19	12
ENSRNOT00000004363	ENSRNOP00000004363	IL23A	Il23a	Interleukin 23, alpha subunit p19 [Source:RGD Symbol;Acc:620873]	1.699289982	0.979984854	19	12
ENSRNOT00000084671	ENSRNOP00000072616	AP5S1	Ap5s1	adaptor-related protein complex 5, sigma 1 subunit [Source:RGD Symbol;Acc:1561852]	1.246980402	0.98002252	187	161
ENSRNOT00000010020	ENSRNOP00000010020	DOK1	Dok1	docking protein 1 [Source:RGD Symbol;Acc:1309499]	1.364309797	0.980035923	61	48
ENSRNOT00000017318	ENSRNOP00000017318	NUDT16	Nudt16	nudix (nucleoside diphosphate linked moiety X)-type motif 16 [Source:RGD Symbol;Acc:1311387]	1.234388642	0.980052356	238	207
ENSRNOT00000086804	ENSRNOP00000071904	RGD1561558	RGD1561558	similar to RIKEN cDNA 1700001F22 [Source:RGD Symbol;Acc:1561558]	3.219929968	0.98006123	5	1.66
ENSRNOT00000072027	ENSRNOP00000066206	CDC45	Cdc45	cell division cycle 45 [Source:RGD Symbol;Acc:1590928]	1.345946933	0.98009806	68.29	54.47
ENSRNOT00000027920	ENSRNOP00000027920	EFNA1	Efna1	ephrin A1 [Source:RGD Symbol;Acc:620388]	1.262551984	0.980102788	147	125
ENSRNOT00000049798	ENSRNOP00000042002	ACOX3	Acox3	acyl-CoA oxidase 3, pristanoyl [Source:RGD Symbol;Acc:69245]	1.216000736	0.980136657	427	377
ENSRNOT00000082415	ENSRNOP00000069219	ADGB	Adgb	androglobin [Source:RGD Symbol;Acc:1564259]	1.255424608	0.980176301	161.43	138.05
ENSRNOT00000026971	ENSRNOP00000026971	RHBDL1	Rhbdl1	rhomboid, veinlet-like 1 (Drosophila) [Source:RGD Symbol;Acc:620699]	1.212363837	0.980239384	533	472
ENSRNOT00000059403	ENSRNOP00000056159	BTN2A2	Btn2a2	butyrophilin, subfamily 2, member A2 [Source:RGD Symbol;Acc:1306973]	1.299808066	0.980254399	96.7	79.87
ENSRNOT00000026662	ENSRNOP00000026662	STAT5A	Stat5a	signal transducer and activator of transcription 5A [Source:RGD Symbol;Acc:3773]	1.280659399	0.980263574	116.83	97.94
ENSRNOT00000022403	ENSRNOP00000022403	LPIN3	Lpin3	lipin 3 [Source:RGD Symbol;Acc:1588534]	1.26629406	0.980280309	138	117
ENSRNOT00000017633	ENSRNOP00000017633	ALOX5	Alox5	arachidonate 5-lipoxygenase [Source:RGD Symbol;Acc:2096]	1.456882751	0.980283566	38	28
ENSRNOT00000073858	ENSRNOP00000065868	FOXF1	Foxf1	forkhead box F1 [Source:RGD Symbol;Acc:1584229]	1.456882751	0.980283566	38	28
